COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Aruba,ABW,AMRO,REPORTING,29-12-2023,217124,90493,203,85,84363,79,,17-02-2021,,35659,33
Afghanistan,AFG,EMRO,REPORTING,31-12-2023,2.296475E7,1.9151369E7,59,49,1.8370386E7,47,,22-02-2021,,2729940,7
Angola,AGO,AFRO,REPORTING,31-12-2023,2.7819132E7,1.6550642E7,85,50,9609080,29,,10-03-2021,,3067091,9
Anguilla,AIA,AMRO,REPORTING,29-12-2023,24864,10858,166,72,10382,69,,05-02-2021,,3231,22
Albania,ALB,EURO,REPORTING,23-12-2023,3088966,1349255,107,47,1279333,44,,13-01-2021,,402371,14
Andorra,AND,EURO,REPORTING,23-12-2023,157072,57913,203,75,53501,69,,20-01-2021,,43071,56
Argentina,ARG,AMRO,REPORTING,29-12-2023,1.16686617E8,4.118865E7,258,91,3.8090133E7,84,,29-12-2020,,2.7718875E7,61
Armenia,ARM,EURO,REPORTING,23-12-2023,2256919,1150915,76,39,1030758,35,,27-01-2021,,81354,3
Antigua and Barbuda,ATG,AMRO,REPORTING,29-12-2023,136512,64290,139,66,62384,64,,01-03-2021,,9838,10
Australia,AUS,WPRO,REPORTING,31-12-2023,6.9686752E7,2.2443557E7,273,88,2.176624E7,85,,21-02-2021,,1.4391682E7,56
Austria,AUT,EURO,REPORTING,23-12-2023,2.0403676E7,6909588,229,78,6682372,75,,30-12-2020,,5405966,61
Azerbaijan,AZE,EURO,REPORTING,23-12-2023,1.382936E7,5436662,136,54,4888112,48,,20-01-2021,,3504588,35
Burundi,BDI,AFRO,REPORTING,31-12-2023,42252,36909,,,36321,,,18-10-2021,,314,
Belgium,BEL,EURO,REPORTING,23-12-2023,2.9117755E7,9248897,253,80,9152736,79,,30-12-2020,,7246551,63
